店名,地區,地址,電話,ID,類別
茶理史,元朗,又新街38號恆富大廈地下14A號舖,N/A,1,飲品
KidsKiss Kingdom 親子餐廳,沙田,安群街3號京瑞廣場一期1樓162號舖,28822779,2,西式
Bittersweet Cafe,粉嶺,聯和墟和豐街和豐閣4號地下,26026711,3,Cafe
魚彩壽司及刺身專門店,天水圍,天湖路1號新北江商場1樓B2-B3號舖,55964163,4,日式
三葉屋,炮台山,炮台山宏安道18號威徳閣地下8號舖,35946069,5,日式
Story Steak & Pasta,元朗,鳳攸南街9號好順利大廈地下3號舖,24778636,6,西式
攪攪滑滑,石硤尾,偉智里1-3號白田購物中心地下13號舖,N/A,7,小食
The Kitchen 大嶼山店,大嶼山,梅窩碼頭路18A卓濤軒地下1號舖,59916292,8,西式
東京食堂,尖沙咀,柯士甸路15A柯士甸大廈地下D舖,56166159,9,日式
神經餵飼,旺角,砵蘭街434號地舖,N/A,10,Cafe
小念頭,旺角,通菜街75號1樓,92962130,11,Cafe
安郴記,屯門,青河坊3號利寶大廈地下102號舖,97938989,12,小食
VII Drip & Brew,葵涌,大連排道132-134號景星工業大廈地舖,57037134,13,飲品
辛安東元祖奶奶雞,旺角,白布街20號地下,23320823,14,韓式
陸陸雞煲火鍋,旺角,白布街16號,23638466,15,酒吧
新景園咖哩小廚,灣仔,春園街20號地舖,25749172,16,港式/ 茶餐廳
幸福週末 銅鑼灣店,銅鑼灣,渣甸街36號地下5號舖,N/A,17,台式
Bánh Mì Kitchen,中環,利源東街22號地下5號舖,23289699,18,越南菜
華爾登麵包餅店,西環,西營盤第二街120-126號仁福大廈地舖,29152263,19,餅店
HOW Food Factory,觀塘,巧明街99號巧明工廠大廈3樓AB座,28051708,20,Cafe
Openground,深水埗,大南街198號地舖,39745098,21,Cafe
My Little Coffee,屯門,建泰街6號恆威工業中心1樓4室,34888481,22,Cafe
老二花廳,旺角,山東街80-82號2樓,56673653,23,西式
